10886|"How Cisco Services aligned Strategy & Operations to guide Business Architecture"|55460
10887|"Managing Change in an Oracle environment"|136368
10888|"DevOps for DBAs"|79675
10889|"Innovative Integration of Apache Solr with Oracle RDBMS JVM, AQ & Data Cartridge"|10259
10890|"Setting up of PeopleSoft Self-Service Environment over Intranet and Internet."|136371
10891|"Defining the Instance Strategy for PeopleSoft Implementation & Upgrades"|136371
10892|"Oracle E-Buss Suite Rel 12 with RAC 11g Rel2 Implementation Real World Insights "|87663
10893|"Building Mobile Apps with Oracle"|10023
10894|"Combining database features with storage technologies to solve DBA challenges "|75721
10895|"Tips & Tricks on E-Business Suite R12 Rollout in Brazil"|36998
10896|"How GE uses 11g RAC to provide high available and scalable database solutions"|136369
10897|"Virtualizing Oracle Database Best Practices"|136384
10898|"Sharpen your Oracle RAC and Dataguard using Intel Zeon Based Blade Servers"|78032
10899|"Disaster recovery for Oracle Database Standard Edition (SE) "|75721
10900|"A Privacy/Security Model to protect and secure within the DW/BI reporting tools"|136372
10901|"Migrating Oracle Databases to the Cloud"|136388
10902|"Infrastructure migration using Oracle database 11gR2 Grid Plug and Play "|75721
10903|"Mission-critical Availability for Oracle Deployments on Enterprise Servers"|110152
10904|"Embracing the Automatic Diagnostic Repository in Oracle Database 11g"|96293
10905|"Supporting a larger group of UPK Developers effectively "|65293
10906|"Enterprise Content Management integration, much easier and faster with CMIS"|39673
10907|"Hudson arrives at Oracle, let developers use it to lower the maintenance costs"|39673
10908|"Don't bore learners with simple UPK topics. Create appealing content instead! "|65293
10909|"How to automate decision making with Oracle Business Rules 11g"|10343
10910|"Service Oriented Integration for JD Edwards EnterpriseOne"|136393
10911|"Out of the Black Box: Evaluating your IO Subsystem"|48882
10912|"Using Oracle Database Vault to Secure Sensitive Data in Oracle E-Business Suite"|125710
10913|"Single instance database conversion to RAC - tips and techniques"|133094
10914|"¿Cómo lo hiciste? - Best practices in translating UPK e-learning content "|65293
10915|"Evaluating Oracle Exadata: Starring Roles for the Best Technology"|10341
10916|" Oracle 11gR2 Cluster upgrade success story- A complete life cycle"|133094
10917|"Driving ADF Applications using BPM Process"|135225
10918|"Backup Recovery best strategies for RAC"|133094
10919|"Managing & Troubleshooting Clusterware - Best Practices"|133094
10920|"Teaching Business Processes by integrating a Process Modeling tool into UPK "|65293
10921|"Programming Oracle Data Pump"|136396
10922|"Four ways to transition from Oracle Forms to Oracle ADF"|10343
10923|"Exadata explained"|89832
10924|"Virtualization Management: How to avoid “Rip and Replace”"|136376
10925|"Under The Hood of Oracle ASM: Fault Tolerance"|10341
10926|"Building an agile e-commerce web platform with Oracle Database 11g & PHP"|136411
10927|"Implementing a Rapid Recovery Strategy on Standard Edition"|136396
10928|"Upskilling a Data Developer for Data Mining"|136408
10929|"Using Oracle Data Miner 11gR2 & SQL Dev. for Data Mining"|136408
10930|"XFILES, The APEX 4 Version: The Truth is in There..."|108081
10931|"Oracle Database Consolidation: Practical Chargeback Methods"|10341
10932|"How to Deploy your Oracle Data Miner 11g R2 Workflows in a Live Environment"|136408
10933|"Pitfalls & Challenges experienced in WebCenter implementations"|135726
10934|" Oracle Application EBS 11i to R12 Data Migration Case Study"|26206
